16.1047   0.581349    2.09733   18.7333     30        0       
17.6542   0.712168    2.51737   19.4667     29        2       
17.9023   0.415824    1.40728   19.7        34        6       
17.6478   0.660386    2.28518   19.8        36        4       
18.1472   0.425719    1.39078   19.8        36        9       
17.8439   0.853496    2.88849   19.8        36        6       
17.2603   1.11969     3.91644   19.8        36        3       
17.7578   0.664897    2.27564   19.8        36        5       
17.7364   0.971653    3.25079   19.8        36        7       
18.2993   0.415423    1.42181   19.8        36        5       
17.9144   0.676852    2.29068   19.8333     30        6       
18.1481   0.578756    1.98082   19.8333     30        5       
17.9264   0.520232    1.83891   19.8333     30        2       
17.9202   0.565912    1.89333   19.8333     30        7       
17.8935   0.54812     1.8967    19.8333     30        4       
17.8689   0.744283    2.51888   19.8333     30        6       
18.416    0.348595    1.23221   19.8333     30        2       
18.4867   0.334868    1.2081    19.8333     30        0       
18.5553   0.36027     1.29974   19.8333     30        0       
18.3104   0.554756    1.89868   19.8333     30        5       
18.2754   0.445865    1.54286   19.8333     30        4       
18.0746   0.945512    3.12634   20.0333     37        8       
18.0616   0.523325    1.8109    20.0333     37        4       
17.9326   0.615778    2.10753   20.2        31        5       
18.4481   0.461538    1.54414   20.2        31        7       
18.3659   0.49815     1.66663   20.2        31        7       
17.7844   0.712017    2.43692   20.2        31        5       
18.2289   0.567369    1.94185   20.2        31        5       
18.3262   0.66031     2.18331   20.2        31        8       
18.3841   0.471439    1.5955    20.2        31        6       
18.3291   0.440061    1.53924   20.2        31        3       
18.3384   0.586726    2.03029   20.2        31        4       
18.5744   0.482726    1.61502   20.2        31        7       
18.1752   0.68178     2.38472   20.2        31        3       
18.5041   0.440008    1.57146   20.2        31        1       
18.6093   0.390584    1.40911   20.2        31        0       
17.3333   1.02216     3.57531   20.2        31        3       
17.8313   0.72897     2.60346   20.2        31        1       
17.9587   0.787894    2.72641   20.2        31        4       
18.3629   0.577521    1.95451   20.2        31        6       
18.3481   0.544502    1.86359   20.2        31        5       
18.5485   0.451977    1.52963   20.2        31        6       
17.8956   0.699629    2.39452   20.2        31        5       
17.9604   0.55974     1.97857   20.2        31        2       
17.9432   0.621114    2.10204   20.2        31        6       
17.9295   0.899169    3.04307   20.2        31        6       
18.3225   0.569624    1.90575   20.2        31        7       
17.7689   0.763229    2.583     20.2        31        6       
17.7458   1.08222     3.49211   20.2        31        10      
18.4928   0.416648    1.44176   20.2        31        4       
18.3305   0.532256    1.86171   20.2        31        3       
18.468    0.410802    1.48205   20.2        31        0       
18.686    0.365705    1.31935   20.2        31        0       
18.2065   0.67149     2.32361   21.7667     39        4       
18.193    0.660964    2.21134   21.7667     39        7       
17.7598   1.08307     3.66543   21.7667     39        6       
18.422    0.541013    1.83096   21.7667     39        6       
18.6699   0.584803    1.91049   21.7667     39        9       
18.4854   0.505347    1.7863    21.7667     39        2       
18.3537   0.825138    2.69564   21.7667     39        9       
18.1852   0.765396    2.61961   21.7667     39        5       
18.0829   0.680978    2.2783    21.7667     39        7       
18.2683   0.633774    2.09557   21.7667     39        8       
18.3907   0.720195    2.40951   21.7667     39        7       
18.1917   0.775663    2.62508   21.7667     39        6       
18.5163   0.491924    1.68364   21.7667     39        5       
18.1646   0.657178    2.32299   21.7667     39        2       
18.3858   0.523364    1.83061   21.7667     39        3       
18.8713   0.36285     1.30905   21.7667     39        0       
18.8469   0.407895    1.45677   21.7667     39        1       
18.919    0.447084    1.47828   21.7667     39        8       
18.6899   0.526418    1.7612    21.7667     39        7       
18.35     0.722911    2.50154   21.7667     39        4       
18.6085   0.679238    2.16421   21.7667     39        11      
18.6333   0.541371    1.85287   21.7667     39        5       
18.1767   0.772727    2.49345   21.7667     39        10      
18.1801   0.666422    2.331     21.7667     39        3       
18.548    0.627983    2.05156   21.7667     39        9       
18.5056   0.465739    1.64629   21.7667     39        2       
18.3946   0.966798    3.23455   21.7667     39        7       
18.405    0.855399    2.76021   21.7667     39        10      
18.6978   0.470779    1.61127   21.7667     39        5       
18.4585   0.670668    2.2954    21.7667     39        5       
18.6606   0.73847     2.49921   21.7667     39        6       
18.6196   0.525584    1.81872   21.7667     39        4       
18.668    0.456849    1.6316    21.7667     39        1       
18.6787   0.405921    1.46443   21.7667     39        0       
18.5341   0.59268     1.93623   21.7667     39        9       
18.4032   0.643905    2.12907   21.7667     39        8       
18.3326   0.611995    2.04751   21.7667     39        7       
18.2611   0.576105    1.90489   21.7667     39        8       
18.5624   0.595637    1.89783   21.7667     39        11      
18.4486   0.56212     1.94515   21.7667     39        4       
18.0377   0.69928     2.41977   21.7667     39        4       
18.1622   0.690835    2.36442   21.7667     39        5       
18.286    0.732659    2.45121   21.7667     39        7       
18.2542   0.859436    2.77324   21.7667     39        10      
18.6953   0.521492    1.74472   21.7667     39        7       
17.5763   1.0238      3.50402   21.7667     39        5       
18.4111   0.53564     1.89338   21.7667     39        2       
18.0899   0.832947    2.88231   21.7667     39        4       
